,DATE,Profil,Région,Total énergie soutirée (Wh),Nb points soutirage
0,2022-03-31,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,7240604.0,3572
1,2022-03-31,ENT3 (+ ENT4 + ENT5),Hauts-de-France,8549020.0,3452
2,2022-03-31,PRO1 (+ PRO1WE),Centre-Val de Loire,137559247.0,401008
3,2022-03-31,PRO1 (+ PRO1WE),Hauts-de-France,292975826.0,771964
4,2022-03-31,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,144477022.0,163888
5,2022-03-31,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,274650767.0,295028
6,2022-03-31,PRO3,Centre-Val de Loire,5028292.0,5544
7,2022-03-31,PRO3,Hauts-de-France,7382103.0,6924
8,2022-03-31,PRO4,Centre-Val de Loire,4761407.0,9468
9,2022-03-31,PRO4,Hauts-de-France,7087075.0,9916
10,2022-03-31,PRO5,Centre-Val de Loire,63448048.0,100964
11,2022-03-31,PRO5,Hauts-de-France,168115235.0,165824
12,2022-03-31,RES1 (+ RES1WE),Centre-Val de Loire,195097877.0,1918640
13,2022-03-31,RES1 (+ RES1WE),Hauts-de-France,536275859.0,4941896
14,2022-03-31,RES11 (+ RES11WE),Centre-Val de Loire,199938201.0,571120
15,2022-03-31,RES11 (+ RES11WE),Hauts-de-France,255194428.0,739480
16,2022-03-31,RES2 (+ RES5),Centre-Val de Loire,1565952254.0,2404312
17,2022-03-31,RES2 (+ RES5),Hauts-de-France,2610749823.0,4691368
18,2022-03-31,RES2WE,Centre-Val de Loire,24902693.0,43480
19,2022-03-31,RES2WE,Hauts-de-France,55751310.0,108328
20,2022-03-31,RES3,Centre-Val de Loire,22050748.0,35984
21,2022-03-31,RES3,Hauts-de-France,35794025.0,57792
22,2022-03-31,RES4,Centre-Val de Loire,40015817.0,82592
23,2022-03-31,RES4,Hauts-de-France,54197146.0,108688
24,2022-04-01,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,86010552.0,42864
25,2022-04-01,ENT3 (+ ENT4 + ENT5),Hauts-de-France,101521320.0,41424
26,2022-04-01,PRO1 (+ PRO1WE),Centre-Val de Loire,2467581529.0,4811984
27,2022-04-01,PRO1 (+ PRO1WE),Hauts-de-France,5255087512.0,9263132
28,2022-04-01,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,2143847877.0,1966644
29,2022-04-01,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,4114836859.0,3540224
30,2022-04-01,PRO3,Centre-Val de Loire,77151108.0,66528
31,2022-04-01,PRO3,Hauts-de-France,114236826.0,83088
32,2022-04-01,PRO4,Centre-Val de Loire,78138919.0,113616
33,2022-04-01,PRO4,Hauts-de-France,115546857.0,118988
34,2022-04-01,PRO5,Centre-Val de Loire,418769139.0,1211564
35,2022-04-01,PRO5,Hauts-de-France,1109723181.0,1989872
36,2022-04-01,RES1 (+ RES1WE),Centre-Val de Loire,3416605616.0,23023272
37,2022-04-01,RES1 (+ RES1WE),Hauts-de-France,9393853621.0,59301312
38,2022-04-01,RES11 (+ RES11WE),Centre-Val de Loire,3325553461.0,6853428
39,2022-04-01,RES11 (+ RES11WE),Hauts-de-France,4242627752.0,8873692
40,2022-04-01,RES2 (+ RES5),Centre-Val de Loire,17590063792.0,28851363
41,2022-04-01,RES2 (+ RES5),Hauts-de-France,29317923926.0,56295380
42,2022-04-01,RES2WE,Centre-Val de Loire,285871607.0,521992
43,2022-04-01,RES2WE,Hauts-de-France,639418009.0,1300288
44,2022-04-01,RES3,Centre-Val de Loire,259145125.0,431804
45,2022-04-01,RES3,Hauts-de-France,426859523.0,693508
46,2022-04-01,RES4,Centre-Val de Loire,517009802.0,991096
47,2022-04-01,RES4,Hauts-de-France,716961608.0,1304252
48,2022-04-02,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,76798244.0,42864
49,2022-04-02,ENT3 (+ ENT4 + ENT5),Hauts-de-France,90675044.0,41424
50,2022-04-02,PRO1 (+ PRO1WE),Centre-Val de Loire,2203591046.0,4810708
51,2022-04-02,PRO1 (+ PRO1WE),Hauts-de-France,4692491078.0,9258252
52,2022-04-02,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,2041715149.0,1966504
53,2022-04-02,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3912024251.0,3538944
54,2022-04-02,PRO3,Centre-Val de Loire,76692435.0,66528
