,DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C,Région,Ville
0,2022-01-01 00:00:00+00:00,14,10,18,10,13,11,0.0,93,9.0,1024,39.625,14,11,7,113,113,113,0.0,4,6.9,météo correcte,17:03:00,08:48:00,10,Hauts-de-France,beauvais-oise
1,2022-01-02 00:00:00+00:00,13,9,29,11,13,11,0.4,90,10.0,1022,71.375,13,11,9,119,353,122,0.0,4,6.9,météo défavorable,17:04:00,08:47:00,10,Hauts-de-France,beauvais-oise
2,2022-01-03 00:00:00+00:00,11,8,26,9,11,9,2.5,92,7.875,1019,90.375,11,8,5,119,119,266,0.0,2,3.2,météo défavorable,17:05:00,08:47:00,10,Hauts-de-France,beauvais-oise
3,2022-01-04 00:00:00+00:00,12,1,35,11,5,2,16.1,98,6.625,1014,100.0,12,11,-5,296,302,338,1.4,2,3.2,météo très défavorable,17:06:00,08:47:00,10,Hauts-de-France,beauvais-oise
4,2022-01-05 00:00:00+00:00,5,1,24,1,4,4,1.1,83,8.75,1022,59.25,5,2,-4,113,122,122,0.0,1,5.1,météo très défavorable,17:07:00,08:47:00,2,Hauts-de-France,beauvais-oise
5,2022-01-06 00:00:00+00:00,6,1,14,1,5,4,0.0,88,10.0,1024,44.0,6,1,-1,113,113,122,0.0,1,8.6,météo très défavorable,17:09:00,08:47:00,3,Hauts-de-France,beauvais-oise
6,2022-01-07 00:00:00+00:00,7,2,30,5,6,4,2.7,93,8.625,1022,82.625,7,3,0,353,176,182,0.0,2,3.2,météo très défavorable,17:10:00,08:46:00,4,Hauts-de-France,beauvais-oise
7,2022-01-08 00:00:00+00:00,9,1,35,2,7,9,2.7,94,8.375,1018,86.75,9,8,-1,122,266,296,0.2,2,3.2,météo très défavorable,17:11:00,08:46:00,1,Hauts-de-France,beauvais-oise
8,2022-01-09 00:00:00+00:00,7,2,24,4,5,4,0.1,85,10.0,1016,58.875,7,3,-2,122,116,116,0.0,1,6.9,météo très défavorable,17:12:00,08:46:00,4,Hauts-de-France,beauvais-oise
9,2022-01-10 00:00:00+00:00,7,3,10,3,7,6,0.0,94,9.0,1025,84.875,7,3,0,143,119,119,0.0,2,5.1,météo très défavorable,17:14:00,08:45:00,4,Hauts-de-France,beauvais-oise
10,2022-01-11 00:00:00+00:00,5,0,9,0,4,2,0.0,89,10.0,1037,32.625,5,0,-3,116,113,113,0.0,2,8.7,météo très défavorable,17:15:00,08:45:00,0,Hauts-de-France,beauvais-oise
11,2022-01-12 00:00:00+00:00,6,2,10,4,4,4,0.0,84,10.0,1041,81.75,6,4,2,122,122,116,0.0,1,3.3,météo très défavorable,17:16:00,08:44:00,3,Hauts-de-France,beauvais-oise
12,2022-01-13 00:00:00+00:00,9,-1,13,0,7,5,0.0,89,9.0,1041,3.625,9,2,-4,113,113,113,0.0,1,8.7,météo très défavorable,17:18:00,08:43:00,0,Hauts-de-France,beauvais-oise
13,2022-01-14 00:00:00+00:00,10,2,8,2,7,5,0.0,87,10.0,1039,0.875,10,5,-1,113,113,113,0.0,2,8.7,météo très défavorable,17:19:00,08:43:00,2,Hauts-de-France,beauvais-oise
14,2022-01-15 00:00:00+00:00,7,2,9,2,6,5,0.0,89,10.0,1032,4.25,7,2,0,113,113,113,0.0,2,8.7,météo très défavorable,17:21:00,08:42:00,2,Hauts-de-France,beauvais-oise
